tree_id	node_id	union_node_id	median_value
118	1	9	-0.0748561794452535
118	2	277	-0.0688026066673329
118	3	278	-0.05495473391427575
119	1	9	-0.07312903036708071
119	2	279	-0.02014422187375135
119	3	280	0.00437333527437625
120	1	3	-0.06027990290660755
120	2	16	-0.06022977539280555
120	3	281	-0.15672580597524743
120	4	282	-0.027889828509208
120	5	283	-0.0603374748037718
121	1	9	-0.06445580417390614
121	2	284	0.0084283353992959
122	1	3	-0.014496430636573701
122	2	285	-0.02974322576517625
122	3	286	0.0031247940794194
122	4	287	0.00353705781300515
