"","sim","method","metric","observed","value","n","N"
"137",17,"FiTree","mae","observed",0.0911403926028096,5,200
"138",17,"FiTree","mae","recoverable",0.0780545928786012,5,200
"139",17,"FiTree","sign","observed",0.9,5,200
"140",17,"FiTree","sign","recoverable",0.8,5,200
"141",17,"Diffusion","mae","observed",0.709366798605125,5,200
"142",17,"Diffusion","mae","recoverable",0.664666360311906,5,200
"143",17,"Diffusion","sign","observed",0.6,5,200
"144",17,"Diffusion","sign","recoverable",0.533333333333333,5,200
"145",18,"FiTree","mae","observed",0.140728695657836,5,200
"146",18,"FiTree","mae","recoverable",0.18869792388827,5,200
"147",18,"FiTree","sign","observed",0.875,5,200
"148",18,"FiTree","sign","recoverable",0.733333333333333,5,200
"149",18,"Diffusion","mae","observed",0.573131472792451,5,200
"150",18,"Diffusion","mae","recoverable",5.52658945411873,5,200
"151",18,"Diffusion","sign","observed",0.625,5,200
"152",18,"Diffusion","sign","recoverable",0.533333333333333,5,200
"153",19,"FiTree","mae","observed",0.0509331062278152,5,200
"154",19,"FiTree","mae","recoverable",0.129154728885231,5,200
"155",19,"FiTree","sign","observed",0.636363636363636,5,200
"156",19,"FiTree","sign","recoverable",0.6,5,200
"157",19,"Diffusion","mae","observed",0.407107237739691,5,200
"158",19,"Diffusion","mae","recoverable",0.622949744676224,5,200
"159",19,"Diffusion","sign","observed",0.727272727272727,5,200
"160",19,"Diffusion","sign","recoverable",0.533333333333333,5,200
"161",20,"FiTree","mae","observed",0.0371675218427547,5,200
"162",20,"FiTree","mae","recoverable",0.0452323518563899,5,200
"163",20,"FiTree","sign","observed",1,5,200
"164",20,"FiTree","sign","recoverable",0.866666666666667,5,200
"165",20,"Diffusion","mae","observed",0.452377736173832,5,200
"166",20,"Diffusion","mae","recoverable",0.732719968712303,5,200
"167",20,"Diffusion","sign","observed",0.6,5,200
"168",20,"Diffusion","sign","recoverable",0.4,5,200
"169",21,"FiTree","mae","observed",0.0197309997916125,5,200
"170",21,"FiTree","mae","recoverable",0.105506888909982,5,200
"171",21,"FiTree","sign","observed",0.666666666666667,5,200
"172",21,"FiTree","sign","recoverable",0.533333333333333,5,200
"173",21,"Diffusion","mae","observed",0.489296596979064,5,200
"174",21,"Diffusion","mae","recoverable",1.17671805070089,5,200
"175",21,"Diffusion","sign","observed",0.555555555555556,5,200
"176",21,"Diffusion","sign","recoverable",0.466666666666667,5,200
"177",22,"FiTree","mae","observed",0.0405187934627512,5,200
"178",22,"FiTree","mae","recoverable",0.094816854179077,5,200
"179",22,"FiTree","sign","observed",0.75,5,200
"180",22,"FiTree","sign","recoverable",0.733333333333333,5,200
"181",22,"Diffusion","mae","observed",0.425996537114744,5,200
"182",22,"Diffusion","mae","recoverable",5.42941007786209,5,200
"183",22,"Diffusion","sign","observed",0.625,5,200
"184",22,"Diffusion","sign","recoverable",0.4,5,200
"185",23,"FiTree","mae","observed",0.0436629041103457,5,200
"186",23,"FiTree","mae","recoverable",0.203477281330736,5,200
"187",23,"FiTree","sign","observed",0.285714285714286,5,200
"188",23,"FiTree","sign","recoverable",0.266666666666667,5,200
"189",23,"Diffusion","mae","observed",0.602509252815077,5,200
"190",23,"Diffusion","mae","recoverable",5.89328585840723,5,200
"191",23,"Diffusion","sign","observed",0.285714285714286,5,200
"192",23,"Diffusion","sign","recoverable",0.333333333333333,5,200
"193",24,"FiTree","mae","observed",0.095208822102901,5,200
"194",24,"FiTree","mae","recoverable",0.169803577317827,5,200
"195",24,"FiTree","sign","observed",0.636363636363636,5,200
"196",24,"FiTree","sign","recoverable",0.4375,5,200
"197",24,"Diffusion","mae","observed",0.517543097472658,5,200
"198",24,"Diffusion","mae","recoverable",0.64083200097249,5,200
"199",24,"Diffusion","sign","observed",0.545454545454545,5,200
